COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-1482896_Q	Prevalence and clinical significance of potential drug-drug interaction in hematopoietic stem cell transplantation
COMPLETEPAPER-1484127_Q	Fenofibrate (PPARalpha agonist) induces beige cell formation in subcutaneous white adipose tissue from diet-induced male obese mice
COMPLETEPAPER-1486153_Q	A nature-inspired approach to speed up optimum-path forest clustering and its application to intrusion detection in computer networks
COMPLETEPAPER-1487594_Q	Effects of genetic polymorphisms on antioxidant status and concentrations of the metals in the blood of riverside Amazonian communities co-exposed to Hg and Pb
COMPLETEPAPER-1491178_Q	Cross-front phytoplankton pigments and chemotaxonomic groups in the Indian sector of the southern ocean
COMPLETEPAPER-1492059_Q	Phylogenetic diversity of Brazilian Metarhizium associated with sugarcane agriculture
COMPLETEPAPER-1492872_Q	Glycerol combined with oils did not limit biohydrogenation of unsaturated fatty acid but reduced methane production in vitro
COMPLETEPAPER-1497201_Q	Thin and transparent films of graphene/silver nanoparticles obtained at liquid-liquid interfaces: preparation
COMPLETEPAPER-1499992_Q	Estimated daily intake of organochlorine pesticides from dairy products in brazil
COMPLETEPAPER-1499993_Q	Validation and application of micro flow liquid chromatography&#45;tandem mass spectrometry for the determination of pesticide residues in fruit jams
COMPLETEPAPER-1504992_Q	Preference for using posts to restore endodontically treated teeth: findings from a survey with dentists
COMPLETEPAPER-1511792_Q	Increased serum bicarbonate in critically ill patients: a retrospective analysis
COMPLETEPAPER-1517863_Q	Diversity measures in macroinvertebrate and zooplankton communities related to the trophic status of subtropical reservoirs: Contradictory or complementary responses?
COMPLETEPAPER-1518879_Q	Molecular characterisation of anthropogenic sources of sedimentary organic matter from Potter Cove
COMPLETEPAPER-1519008_Q	Bioactivity of Pelargonium graveolens essential oil and related monoterpenoids against sweet potato whitefly
COMPLETEPAPER-1521055_Q	Multivariate Optimization and Supplementation Strategies for the Simultaneous Production of Amylases
COMPLETEPAPER-1521056_Q	Performance of a fixed-bed solid-state fermentation bioreactor with forced aeration for the production of hydrolases by Aspergillus awamori
COMPLETEPAPER-1521956_Q	Bioinsecticide-Predator Interactions: Azadirachtin Behavioral and Reproductive Impairment of the Coconut Mite Predator Neoseiulus baraki
COMPLETEPAPER-1529624_Q	An enhanced location-free Greedy Forward algorithm with hole bypass capability in wireless sensor networks
COMPLETEPAPER-1535313_Q	The Multilayer Control Scheme: A Strategy to Guide $$n$$ n -Robots Formations with Obstacle Avoidance
COMPLETEPAPER-1538918_Q	On bounds and boundary conditions in the continuum Landau gauge
COMPLETEPAPER-1544159_Q	Simulation of the performance of small cyclone separators through the use of Post Cyclones (PoC) and annular overflow ducts
COMPLETEPAPER-1545712_Q	Cilostazol but not sildenafil prevents memory impairment after chronic cerebral hypoperfusion in middle-aged rats
COMPLETEPAPER-1550325_Q	Soil phosphorus increases dry matter and nutrient accumulation and allocation in potato cultivars
COMPLETEPAPER-1558264_Q	Liposomal lidocaine gel for topical use at the oral mucosa: characterization
COMPLETEPAPER-1558909_Q	Dietary fiber as fat substitute in emulsified and cooked meat model system
COMPLETEPAPER-1559433_Q	Neuromuscular effects of venoms and crotoxin-like proteins from Crotalus durissus ruruima and Crotalus durissus cumanensis
COMPLETEPAPER-1559929_Q	Fluid intelligence and school performance and its relationship with social variables in Latin American samples
COMPLETEPAPER-1562863_Q	Prediction of soil properties using imaging spectroscopy: Considering fractional vegetation cover to improve accuracy
COMPLETEPAPER-1563857_Q	Time response of increases in ATP and muscle resistance to fatigue after low-level laser (light) therapy (LLLT) in mice
COMPLETEPAPER-1565589_Q	A new framework for geostatistics-based history matching using genetic algorithm with adaptive bounds
COMPLETEPAPER-1565590_Q	A methodology to evaluate and reduce reservoir uncertainties using multivariate distribution
COMPLETEPAPER-1566024_Q	Papaya nectar formulated with prebiotics: Chemical characterization and sensory acceptability
COMPLETEPAPER-1567311_Q	Influence of viscosity and amine content on C=C conversion and color stability of experimental composites
COMPLETEPAPER-1568417_Q	Electrochemical determination of copper ions in spirit drinks using carbon paste electrode modified with biochar
COMPLETEPAPER-1568419_Q	Mercury nanodroplets supported at biochar for electrochemical determination of zinc ions using a carbon paste electrode
COMPLETEPAPER-1579565_Q	A prediction-based clustering algorithm for tracking targets in quantized areas for wireless sensor networks
COMPLETEPAPER-1585619_Q	MicroRNA 21 Is a Homeostatic Regulator of Macrophage Polarization and Prevents Prostaglandin E2-Mediated M2 Generation
COMPLETEPAPER-1586191_Q	BtoxDB: A comprehensive database of protein structural data on toxin-antitoxin systems
COMPLETEPAPER-1589024_Q	Identification of a dicaffeoylquinic acid isomer from Arctium lappa with a potent anti-ulcer activity
COMPLETEPAPER-1590990_Q	microRNAs targeting the immunomodulatory HLA-G gene: A new survey searching for microRNAs with potential to regulate HLA-G
COMPLETEPAPER-1591542_Q	Determination of arsenic species in rice samples using CPE and ETAAS
COMPLETEPAPER-1592433_Q	Perivascular adipose tissue and vascular responses in healthy trained rats
COMPLETEPAPER-1596642_Q	The combined use of ultrasound and molecular sieves improves the synthesis of ethyl butyrate catalyzed by immobilized Thermomyces lanuginosus lipase
COMPLETEPAPER-1596643_Q	Optimization of ethyl ester production from olive and palm oils using mixtures of immobilized lipases
COMPLETEPAPER-1596644_Q	Continuous production of fructooligosaccharides and invert sugar by chitosan immobilized enzymes: Comparison between in fluidized and packed bed reactors
COMPLETEPAPER-1600292_Q	Domestic Violence Against Children and Adolescents: Prevalence of Physical Injuries in a Southern Brazilian Metropolis
COMPLETEPAPER-1605049_Q	Determination of cocaine/crack biomarkers in colostrum by LC-MS following protein precipitation
COMPLETEPAPER-1609254_Q	Natural occurrence of deoxynivalenol in wheat from Parana State
COMPLETEPAPER-1610738_Q	Screening and determination of sulfonamide residues in bovine milk samples using a flow injection system
COMPLETEPAPER-1610907_Q	Early recruitment responses to interactions between frequent fires
COMPLETEPAPER-1612392_Q	EVALUATION OF PERMEATION OF MACAUBA OIL AND n-HEXANE MIXTURES THROUGH POLYMERIC COMMERCIAL MEMBRANES SUBJECTED TO DIFFERENT PRE-TREATMENTS
COMPLETEPAPER-1619310_Q	Snake venom serine proteinases specificity mapping by proteomic identification of cleavage sites
COMPLETEPAPER-1619311_Q	New proline-rich oligopeptides from the venom of African Adders: Insights into the hypotensive effect of the venoms
COMPLETEPAPER-1619632_Q	Laser-induced breakdown spectroscopy (LIBS) combined with hyperspectral imaging for the evaluation of printed circuit board composition
COMPLETEPAPER-1619953_Q	Forensic ballistics by inductively coupled plasma-optical emission spectroscopy: Quantification of gunshot residues and prediction of the number of shots using different firearms
COMPLETEPAPER-1619954_Q	Multivariate Optimisation Of Icp Oes Instrumental Parameters For Pb/Ba/Sb Measurement In Gunshot Residues
COMPLETEPAPER-1623489_Q	Nutrient leaching in an Ultisol cultivated with sugarcane
COMPLETEPAPER-1624919_Q	Development plates for stable internal fixation: Study of mechanical resistance in simulated fractures of the mandibular condyle
COMPLETEPAPER-1627291_Q	Tumor necrosis factor beta NcoI polymorphism (rs909253) is associated with inflammatory and metabolic markers in acute ischemic stroke
COMPLETEPAPER-1628269_Q	Incorporation of residues from the minero-metallurgical industry in the production of clay-lime brick
COMPLETEPAPER-1631245_Q	Imparting improvements in electrochemical sensors: evaluation of different carbon blacks that give rise to significant improvement in the performance of electroanalytical sensing platforms
COMPLETEPAPER-1631944_Q	Sorption of Hg(II) by modified K10 montmorillonite: Influence of pH
COMPLETEPAPER-1633745_Q	Secondary hyperparathyroidism and its relationship with sarcopenia in elderly women
SPECIFIC_CHAPTER-1635636_Q	Alkaloids of the Annonaceae: Occurrence and a Compilation of Their Biological Activities
COMPLETEPAPER-1635649_Q	Engineered nanoparticles and organic matter: A review of the state-of-the-art
COMPLETEPAPER-1635650_Q	Polysaccharides as safer release systems for agrochemicals
COMPLETEPAPER-1635651_Q	Chitosan nanoparticles loaded the herbicide paraquat: The influence of the aquatic humic substances on the colloidal stability and toxicity
COMPLETEPAPER-1635653_Q	Removal of glyphosate herbicide from water using biopolymer membranes
COMPLETEPAPER-1636670_Q	Bulk crustal properties of the Borborema Province
COMPLETEPAPER-1638527_Q	Massive   spin-2   theories in arbitrary D &#8805; 3 dimensions
COMPLETEPAPER-1642423_Q	Manual Ability Classification System (MACS): reliability between therapists and parents in Brazil
COMPLETEPAPER-1644324_Q	Identification and characterization of regions of difference between the Salmonella Gallinarum biovar Gallinarum and the Salmonella Gallinarum biovar Pullorum genomes
COMPLETEPAPER-1644587_Q	Brucella abortus S19 and RB51 vaccine immunogenicity test: Evaluation of three mice (BALB/c
COMPLETEPAPER-1645552_Q	Contamination of wetland soils and floodplain sediments from agricultural activities in the Cerrado Biome (State of Minas Gerais
COMPLETEPAPER-1645924_Q	Influence of Cement Type and Relining Procedure on Push-Out Bond Strength of Fiber Posts after Cyclic Loading
COMPLETEPAPER-1645925_Q	A galloylated dimeric proanthocyanidin from grape seed exhibits dentin biomodification potential
COMPLETEPAPER-1647282_Q	Existence and sharp decay rate estimates for a von Karman system with long memory
COMPLETEPAPER-1647382_Q	Effect of a 10-day trigeminal nerve stimulation (TNS) protocol for treating major depressive disorder: A phase II
COMPLETEPAPER-1648352_Q	Thermophilic fungi as new sources for production of cellulases and xylanases with potential use in sugarcane bagasse saccharification
COMPLETEPAPER-1652737_Q	SPATIAL AND TEMPORALVARIATION OF DISSOLVED INORGANIC NUTRIENTS
COMPLETEPAPER-1654849_Q	Physical and chemical properties of fish oil biodiesel produced in Brazil
COMPLETEPAPER-1657906_Q	Relationship between behavioral alterations and activities of adenylate kinase and creatine kinase in brain of rats infected by Trypanosoma evansi
COMPLETEPAPER-1659075_Q	Chronic consumption of trans fat can facilitate the development of hyperactive behavior in rats
COMPLETEPAPER-1659076_Q	Cross-generational trans fat intake facilitates mania-like behavior:  oxidative and molecular markers in brain cortex
COMPLETEPAPER-1660147_Q	Chagas disease and housing improvement in northeastern Brazil: a cross-sectional survey
COMPLETEPAPER-1660620_Q	Removal of aromatic hydrocarbons from hydrocarbon mixture using glycols at 303
COMPLETEPAPER-1661755_Q	Contrasting effects of transcranial direct current stimulation on central and peripheral visual fields
COMPLETEPAPER-1663639_Q	Diagnostic accuracy of conventional and digital radiography for detecting misfit between the tooth and restoration in metal-restored teeth
COMPLETEPAPER-1668617_Q	Hand Use at Home and in Clinical Settings by Children with Cerebral Palsy: A Qualitative Study
COMPLETEPAPER-1672485_Q	Clinical applicability of reticulated platelets
COMPLETEPAPER-1672486_Q	Asymmetric Dimethylarginine (ADMA) in cardiovascular and renal disease
COMPLETEPAPER-1672777_Q	Influence of lupin and rapeseed meals on the integrity of digestive tract and organs in gilthead seabream ( L
COMPLETEPAPER-1682542_Q	Multi-objective optimization of SNG production from microalgae through hydrothermal gasification
COMPLETEPAPER-1683160_Q	Deriving vegetation indices for phenology analysis using genetic programming
COMPLETEPAPER-1683955_Q	Frequency of Epstein-Barr virus DNA sequences in human gliomas
COMPLETEPAPER-1684578_Q	Water use efficiency and consumption in different Brazilian genotypes of Jatropha curcas L
COMPLETEPAPER-1687851_Q	Stereotype threat affects the learning of sport motor skills
COMPLETEPAPER-1687852_Q	External focus and autonomy support: Two important factors in motor learning have additive benefits
COMPLETEPAPER-1687853_Q	Self-controlled practice benefits motor learning in older adults
COMPLETEPAPER-1687854_Q	Choose to move: The motivational impact of autonomy support on motor learning
COMPLETEPAPER-1688641_Q	Technical-economic potential of PV systems on Brazilian rooftops
COMPLETEPAPER-1689837_Q	Applications of ontologies in requirements engineering: a systematic review of the literature
COMPLETEPAPER-1694160_Q	Biochemical profile of Achatina fulica (Mollusca: Gastropoda) after infection by different parasitic loads of Angiostrongylus cantonensis (Nematoda
COMPLETEPAPER-1698612_Q	Gravitational Aharonov-Bohm effect due to noncommutative BTZ black hole
COMPLETEPAPER-1708319_Q	GPR investigation of karst guided by comparison with outcrop and unmanned aerial vehicle imagery
COMPLETEPAPER-1710659_Q	Monitoring the Physicochemical Degradation of Coconut Water Using ESI-FT-ICR MS
COMPLETEPAPER-1710811_Q	Pollination ecology of two species of (Orchidaceae): novel mechanisms and underlying adaptations to hummingbird pollination
COMPLETEPAPER-1711853_Q	Classification of breast regions as mass and non-mass based on digital mammograms using taxonomic indexes and SVM
